1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,108,109,110,111
0.0,79.7,98.1,116.0,75.4,110.6,113.0,222.3,162.1,187.9,288.9,155.2,169.1,265.2,143.1,184.0,229.5,181.7,238.4,318.8,412.9,356.2,293.4,341.8,494.3,419.5,408.4,371.7,381.4,518.4,529.5,551.3,201.1,261.9,289.2,314.6,350.8,393.4,428.9,423.7,499.2,577.7,624.7,676.4,305.9,344.6,386.8,439.0,364.2,354.8,513.4,499.5,495.9,587.5,664.0,652.0,699.3,714.3,732.4,773.2,884.1,915.9,910.2,933.4,950.7,743.9,691.5,726.5,724.1,880.6,896.8,1021.9,1098.9,1134.6,1167.0,1007.3,1066.2,1202.6,1294.8,1382.5,1712.4,1603.5,1382.1,1634.7,1585.4,1562.0,1479.8,1581.8,1543.7,788.8,789.4,949.6,476.8,861.0,859.5,90.6,188.4,184.9,467.9,398.7,1311.7,1294.7,152.1,151.0,619.4,966.2,976.4
77.3,0.0,24.1,206.4,85.5,58.1,121.2,214.1,144.7,134.7,235.6,96.9,110.3,206.5,84.4,125.2,172.2,80.5,185.9,260.0,354.2,297.5,234.7,283.1,435.6,369.1,349.7,312.1,322.6,459.7,470.7,492.6,148.5,209.3,236.7,262.0,298.2,340.9,374.8,371.1,446.6,525.2,557.7,623.9,252.8,291.3,333.6,386.4,310.9,301.6,460.8,447.0,442.6,534.9,611.5,599.5,646.7,661.7,679.2,720.6,831.6,863.3,857.7,880.8,898.2,691.3,639.0,674.0,671.5,828.0,844.3,969.3,1046.3,1082.1,1114.4,954.7,1013.6,1150.1,1242.2,1329.9,1659.9,1550.9,1329.6,1582.1,1532.8,1509.4,1427.2,1529.3,1491.2,735.0,736.2,896.4,418.1,808.5,806.2,49.3,129.7,122.7,415.3,345.4,1259.1,1242.1,93.7,91.9,566.8,913.7,923.1
95.8,25.2,0.0,208.4,102.9,75.4,139.9,231.5,162.1,152.1,253.0,92.9,78.7,174.9,52.8,93.7,140.7,87.2,153.6,228.5,322.6,265.9,203.1,251.5,404.0,337.6,318.1,281.4,291.1,428.1,439.2,461.0,118.3,175.9,203.3,228.6,264.8,307.5,342.9,337.7,413.2,491.8,524.3,590.5,270.1,308.7,350.9,353.0,328.3,319.0,427.4,413.5,460.4,501.5,578.1,566.1,613.3,628.3,704.2,687.2,798.1,829.9,824.2,847.4,864.7,657.9,605.6,640.6,638.1,794.6,810.9,935.9,1012.9,1048.7,1081.0,921.3,980.2,1116.7,1208.9,1296.5,1626.5,1517.5,1296.2,1548.7,1499.4,1476.0,1393.8,1495.8,1457.8,752.9,753.6,913.8,386.5,775.1,823.6,63.0,98.1,101.4,381.9,346.4,1225.7,1208.7,89.8,60.3,533.4,880.3,940.5
100.1,207.0,210.5,0.0,128.0,163.2,225.5,162.8,102.5,146.7,247.6,267.7,281.5,377.7,249.3,306.4,334.8,234.3,291.0,351.5,512.3,455.6,392.8,441.1,593.6,518.8,507.7,471.0,479.2,617.8,628.8,650.7,253.6,314.5,341.8,367.1,403.3,446.0,481.4,476.2,551.7,630.3,677.2,729.0,264.7,303.3,345.5,373.9,322.9,313.6,451.8,437.9,455.0,525.9,602.4,590.4,637.7,643.2,691.1,711.6,822.5,854.3,848.6,871.8,889.1,796.4,744.1,779.1,776.6,849.4,949.4,1074.4,1151.4,1187.2,1219.5,984.9,1118.7,1141.0,1233.2,1320.9,1650.8,1541.9,1320.5,1573.1,1523.8,1500.4,1418.2,1520.2,1482.1,747.5,748.2,908.4,576.1,799.5,818.2,203.1,300.8,274.2,520.4,357.4,1250.1,1233.1,264.5,263.4,671.9,1018.8,935.1
58.7,86.8,103.0,128.4,0.0,43.0,197.7,199.7,130.4,121.5,221.2,174.0,187.4,283.6,129.1,195.4,214.6,114.1,170.8,231.3,392.1,335.4,272.6,320.9,473.4,398.6,387.5,350.8,359.0,497.6,508.6,530.5,133.4,194.3,221.6,246.9,283.1,325.8,361.2,356.0,431.5,510.1,541.9,608.8,238.4,276.9,319.2,368.0,296.5,287.2,445.8,431.8,428.6,519.8,596.4,584.4,631.6,646.6,664.8,705.5,816.5,848.2,842.6,865.7,883.1,676.2,623.9,658.9,656.4,812.9,829.2,954.2,1031.2,1067.0,1099.3,939.6,998.5,1135.0,1227.1,1314.8,1644.8,1535.8,1314.5,1567.0,1517.7,1494.3,1412.1,1514.3,1476.1,720.6,716.4,882.0,455.9,793.4,791.9,144.3,206.7,154.0,400.2,331.1,1244.0,1227.0,170.8,169.0,551.7,898.6,908.7
94.7,57.7,73.9,164.4,43.5,0.0,168.6,166.3,96.9,86.9,187.8,144.9,158.1,254.5,91.9,158.2,177.4,76.9,133.6,194.1,354.8,298.1,235.3,283.7,436.2,361.4,350.3,313.6,321.8,460.3,471.4,493.2,96.2,157.0,184.4,209.7,245.9,288.6,324.0,318.8,394.3,472.9,504.7,571.6,205.0,243.5,285.8,330.8,263.1,253.8,408.5,394.6,395.2,482.6,559.2,547.2,594.4,609.4,631.4,668.3,779.2,811.0,805.3,828.5,845.8,639.0,586.6,621.7,619.2,775.7,792.0,917.0,994.0,1029.8,1062.1,902.4,961.3,1097.8,1189.9,1277.6,1607.6,1498.6,1277.3,1529.8,1480.5,1457.1,1374.9,1477.0,1438.8,687.6,688.4,848.6,418.7,756.2,758.4,115.2,177.6,105.3,363.0,297.6,1206.8,1189.8,141.7,139.8,514.5,861.4,875.3
114.7,122.2,141.0,224.2,196.5,169.1,0.0,325.1,255.7,245.7,346.6,198.1,212.0,308.1,186.0,226.8,275.6,220.4,296.9,361.7,455.8,399.1,336.3,384.7,537.2,470.7,451.3,414.6,421.2,561.3,572.4,594.2,259.5,320.3,347.7,373.0,409.2,451.9,487.3,482.1,557.6,636.2,683.1,734.9,363.8,402.3,444.6,472.9,421.9,412.6,550.8,536.9,553.6,624.9,701.5,689.4,736.7,742.2,790.6,810.6,921.5,953.3,947.6,970.8,988.1,802.3,750.0,785.0,782.5,939.0,955.3,1080.3,1157.3,1193.1,1225.4,1065.7,1124.6,1240.0,1332.2,1419.9,1749.9,1640.9,1419.6,1672.1,1622.8,1599.4,1517.2,1619.2,1581.1,846.5,847.2,1007.4,519.6,898.5,915.7,88.8,231.3,224.3,526.3,456.4,1349.1,1332.1,195.0,193.9,677.8,1024.7,1034.1
222.1,214.7,230.9,162.8,200.5,167.1,325.6,0.0,71.5,117.3,217.4,301.8,285.6,383.2,240.3,297.3,325.5,225.2,281.8,342.3,503.0,446.3,383.5,431.9,584.4,509.6,498.5,460.9,469.9,608.5,619.6,641.4,244.4,305.2,332.6,357.9,394.1,436.8,470.7,467.0,542.5,621.1,668.0,719.7,234.6,273.1,315.3,343.7,292.7,283.3,421.6,407.8,424.4,495.7,572.2,560.2,607.5,613.0,660.9,681.3,792.3,824.0,818.4,841.6,858.9,708.8,734.8,769.9,767.4,819.2,940.1,1065.2,1142.2,1178.0,1210.3,954.6,1039.0,1110.8,1202.9,1290.6,1620.6,1511.7,1290.3,1542.8,1493.5,1470.2,1387.9,1490.0,1451.9,716.8,717.9,878.1,566.8,769.2,788.0,272.2,306.3,265.2,511.2,327.2,1219.9,1202.8,298.7,265.3,662.7,1009.6,904.9
161.3,145.3,161.5,102.0,130.9,97.7,256.2,71.6,0.0,48.0,148.0,232.5,216.2,313.8,170.9,227.7,256.2,155.9,212.4,272.9,433.7,377.0,314.2,362.5,515.0,448.6,429.1,392.4,400.6,539.2,550.2,572.1,175.0,235.9,263.2,288.5,324.7,367.4,402.8,397.6,473.2,551.7,598.6,650.4,165.2,203.7,246.0,274.3,223.3,214.0,352.2,338.3,355.4,426.3,502.8,490.8,538.1,543.6,592.0,612.0,722.1,754.7,749.0,772.2,789.5,639.4,665.5,700.5,698.0,749.8,870.8,995.9,1072.9,1108.6,1140.9,885.3,969.7,1041.4,1133.6,1221.3,1551.3,1442.3,1221.0,1473.5,1424.2,1400.8,1318.6,1420.8,1382.5,647.8,643.1,808.8,497.5,699.9,718.6,203.0,237.0,195.8,441.8,257.8,1150.5,1133.5,229.3,196.0,593.3,940.2,835.5
